"TAJUK PEROLEHAN","KEMENTERIAN","NAMA SYARIKAT","HARGA SETUJU"
"MEMBEKAL DAN MENGHANTAR KIT BAHAN GUNA HABIS ILLUMINA INFINIUM BOV1NEHD BEADCHIP DI PUSAT BANK GEN DAN BUI BENIH, IBU PEJABAT MARDI, SERDANG, SELANGOR — MARDI","KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI","SCIENCEVISION SDN BHD","346,557.75"
"OPERASI BERSEPADU WABAK RABIES - JPV","KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI","GLOBAL VETERINARY SDN BHD","2,986,250.00"
"PENYELENGGARAAN ALAT HIGH PRESSURE HOMOGENIZER (HPH)","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","IKA WORKS ASIA SDN BHD","36,000.00"
"PENYELENGGARAAN PERALATAN APPUED BIOSYSTEMS 3130XL GENETIC ANALYZER","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","BIOMARKETING SERVICES (M) SDN BHD","166,000.00"
"PENYELENGGARAAN PERAIATAN GCMS S975 TURBO SYSTEM ADV FUNCTIONALITY","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","AGILENT TECHNOLOGIES SALES (M) SDN BHD","30,000.00"
"PENYELENGGARAAN, BAIK PUUH DAN PENGGANTIAN ALAT GANTI BAGI SISTEM LTQ ORBITRAP LC-MS","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","THERMO FISHER SCIENTIFIC MALAYSIA SDN BHD","83,300.00"
"PERKHIDMATAN SEWAAN PERAIATAN DAN INFRASTRUKTUR HIGH QUALITY DATA TRANSMISSION UNTUK SISTEM TELEMETRI PENGURUSAN BANJIR BANDARAYA KUALA LUMPUR DI PUSAT KAWALAN SMART","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","TELEKOM MALAYSIA BERHAD","3,900.000.00"
"PERMOHONAN KELULUSAN UNTUK MELANTIK IURUAUDIT BEBAS SECARA RUNDINGAN TERUS BAGI PELAKSANAAN PENSUILAN PENGURUSAN HUTAN MCI DI SEMENANJUNG MALAYSIA","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","SIRIM QAS INTERNATIONAL SDN BHD","1,511,000.00"
"'PREVENTIVE MAINTENANCE' BAGI MESIN 'SUPERCRITICAL FWID EXTRACTION' (SFE)","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","WATERS ANALYTICAL INSTRUMENTS SDN BHD","28,785.00"
"SERVICE MAINTENANCE PLAN FOR HIGH PERFORMANCE UQUID CHROMATOGRAPHY (HPLC)","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","WATERS ANALYTICAL INSTRUMENTS SDN BHD","104,000.00"
"PERKHIDMATAN LANGGANAN TM SMARTMAP API UNTUK PUSAT INFRASTRUKTUR DATA GEOSPATIAL NEGARA (MACGDI) KATS","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","TELEKOM MALAYSIA BERHAD","175,250.00"
"PAMERAN KHAZANAH HUTAN NEGARA CFS","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","MENARA KUALA LUMPUR SDN BHD","3,413,600.00"
"PERKHIDMATAN KAWALAN KESELAMATAN BAGI BULAN JANUARI 2019 DI JABATAN MINERAL DAN GEOSAINS MALAYSIA NEGERI KEDAH/PERLIS/PULAU PINANG","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","REKAI JAYA SECURITY SERVICES SDN BHD","44,520.00"
"PERKHIDMATAN KAWALAN KESELAMATAN TANPA SEN/ATA API DI WISMA SUMBER ASLI (LOT 4G3), KEMENTERIAN AIR, TANAH DAN SUMBER ASU (KATS)","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","RAHMAT BERNAS SECURITY SERVICES SDN BHD","50,106.20"
"PERKHIDMATAN MENCUCI DAN MEMBERSIH BANGUNAN BAGI BULAN JANUARI 2019 DI JABATAN MINERAL DAN GEOSAINS MALAYSIA NEGERI KEDAH/PERUS/PULAU PINANG","KEMENTERIAN AIR, TANAH DAN SUMBER ASLI","DIAH KASTURI ENTERPRISE","37,200.00"
"KAJIAN KESEJAHTERAAN KELUARGA DAN KOMUNITI DI DAERAH LARUT MATANG DAN SELAMA (LMS), PERAK","KEMENTERIAN PEMBANGUNAN WANITA, KELUARGA DAN MASYARAKAT","USAINS HOLDINGS 5DN BHD","1,187,294.00"
"IANGGANAN TALIAN PERNIAGAAN DAN TOLL FREE BAGI PROJEK CALL CENTER CATI UNTUK KEGUNAAN JABATAN PERANGKAAN MALAYSIA.","KEMENTERIAN HAL EHWAL EKONOMI","TELEKOM MALAYSIA BERHAD","329,256.00"
"PEMBELIAN BUKU A BETTER WORLD, ACTIONS AND COMMITMENTS TO THE SUSTAINABLE DEVELOPMENT GOALS, VOLUME 5","KEMENTERIAN HAL EHWAL EKONOMI","TUDOR ROSE","21,022.86"
"PROGRAM PIPC BRIDGING GAPS OLEH JOHOR PETROLEUM DEVELOPMENT CORPORATION BERHAD (1PDC), MEA","KEMENTERIAN HAL EHWAL EKONOMI","UTHMM HOLDINGS SDN BHD","736,816.97"
"MEMBEKAL DAN MEMASANG SET LENGKAP FLOOR BOX SERTA PENYENGGARAAN FLOOR BOX SEDIA ADA DI BLOK B5 B6, KEMENTERIAN HAL EHWAL EKONOMI","KEMENTERIAN HAL EHWAL EKONOMI","LAPISAN REZEKI SDN BHD","90,000.00"
"PEROLEHAN KOLEKSI MANUSKRIP MELAYU OLEH PERPUSTAKAAN NEGARA MALAYSIA TAHUN 2019","KEMENTERIAN PELANCONGAN, SENI DAN BUDAYA","AZAINI FAISHAM BIN SAMSUDIN, MUHAMMAD PAUZI BIN ABD LATIF, AHMAD SHAUQI BIN ABDULLAH @ YAHYA, MOHAMAD ZULKHAIRI NGAH, WAN JAMALUDDIN WAN YUSOFF, MOHO FAREEZ BIN ABDUL LUBIS SASTRO, PROF. MADYA DR. AB. RAZAK BIN AB. KARIM","291,100.00"
"PEROLEHAN KOLEKSI PERIBADI/ BAHAN NADIR OLEH PERPUSTAKAAN NEGARA MALAYSIA","KEMENTERIAN PELANCONGAN, SENI DAN BUDAYA","EN. WAN AHMAD BIN ARSHAD, TUAN HA.II ZAINAL BIN BUANG, SASTERAWAN NEGARA DATO' DR. HAJI AHMAD KHAMAL BIN ABDULLAH, SASTERAWAN NEGARA DATO• DR. HAII AHMAD KHAMAL BIN ABDULLAH, TUAN HAJI ZAINAL BIN BUANG, EN. WAN AHMAD BIN ARSHAD, EN. CHE MAT NASIR BIN CHE RAZAK, SASTERAWAN NEGARA DATO' DR. NOORDIN BIN HA","288,400.00"
"PERKHIDMATAN PENGIKLANAN DI MAIALAH TRAVEL 360 AIR ASIA BERHAD BAGI PROGRAM ADVOKASI KEPENGGUNAAN KEMENTERIAN PERDAGANGAN DALAM NEGERI DAN HAL EHWAL PENGGUNA","KEMENTERIAN PERDAGANGAN DALAM NEGERI DAN HAL EHWAL PENGGUNA","PHAR PATNERSHIPS (M) SDN BHD","169,920.00"
"PERKHIDMATAN MENAIKTARAF SISTEM SAGA-CENTURY FINANCIAL MAJL1S SUKAN WILAYAH PERSEKUTUAN (MSWP) KE ARAH PATUH MPSAS","KEMENTERIAN WILAYAH","CENTURY SOFTWARE (M) SDN BHD","96,990.00"
